,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CTB-114C7.4,0.17534112614493338,-0.04972125237487319,0.34116514860865776,-0.2413605748138405,0.8092756663131238,0.9334007702984756
LINC01366,0.06567580986420579,-0.07366929990093384,0.3071902410447496,-0.2385329217266706,0.811467784274557,
KCNIP1,0.002520753999950163,-0.008182592378404161,0.3307214167219276,0.006556125607147314,0.9947690060731792,
KCNMB1,1.1889746911523342,0.04602255308470961,0.3364527578914147,0.2228438123250475,0.823657067952186,0.940574901298077
RANBP17,0.30875051081966987,-0.15363666891186384,0.38656210774087013,-0.7125399375320333,0.47613048971205296,0.7200806045593273
NPM1,306.7580095179063,-0.286983380324308,0.1358760771694601,-2.408678930553479,0.016010375964712165,0.06240018319651334
FGF18,0.006995973145870857,-0.007912513587063678,0.3567653166026389,0.01551618641599708,0.9876203711549482,
FBXW11,9.171731683043259,0.05500893380905105,0.10196706030811142,0.6189971589512889,0.5359182305020569,0.7701841052448135
STK10,27.203880201354746,-0.11319002051032517,0.10689451311094292,-1.139324070780308,0.25456801227174797,0.4888901116709209
UBTD2,0.588582607168168,-0.48597028007975535,0.2459116596530143,-2.1652409496941285,0.030369237871017158,0.10404858179761901
SH3PXD2B,0.10317865168877285,-0.05274108105961725,0.35717700604779995,-0.16553529917942564,0.8685226683328041,
NEURL1B,0.1643359787891056,-0.03856766164163728,0.3117551573807434,-0.15912842518481685,0.8735676934931804,
RP11-779O18.3,0.02439348448178703,-0.024725773356863955,0.3697456559480183,-0.02928381469665792,0.97663823536813,
DUSP1,380.1810125777538,-1.4358520737601967,0.14814985282526436,-9.908487335260594,3.823916219235246e-23,5.923408943434513e-21
ERGIC1,14.981442757544404,-0.00937737626449784,0.14093724569171848,-0.05115348160277335,0.9592032195841567,0.9902132634076501
CTC-308K20.1,0.0324904479089472,0.008982925562275743,0.3743942431569963,0.050523459742823934,0.9597052551035364,
RPL26L1,9.140987831843207,0.2687640389556039,0.09790181309175261,3.0031959126234216,0.0026716038764089674,0.014547952148238959
ATP6V0E1,81.49146244628787,0.45438503870375657,0.10121069583752172,4.796072677093259,1.6180659487185774e-06,2.3076060998326352e-05
CREBRF,22.263061648869385,-0.5477328484934919,0.08274813321900541,-6.813460008180602,9.527885427384548e-12,3.459739144841556e-10
CTC-209H22.3,0.051289136217619345,-0.0974195537314087,0.35944222563643885,-0.22077400634000888,0.8252684041274961,
BNIP1,5.138650516608382,-0.4112853641674542,0.12375539325843793,-3.5845208268353494,0.00033769761834405047,0.0025491005809785998
BOD1,5.309705544208463,0.47817585908375165,0.13381637320145923,3.8818949546086974,0.00010364565011270281,0.0009020826726186884
LINC01484,0.07346884177336878,0.024962360434308366,1.047978768118383,0.12052894933616692,0.9040641485460852,
CPEB4,7.179587244771757,-0.3033803174057303,0.1958104696864525,-1.9992756834221168,0.0455785336721284,0.14141679710203742
C5orf47,0.0288921673753372,-0.015944182914736746,0.3158058130386692,-0.0017576969742772166,0.998597561443793,
MSX2,0.011133831305322818,-0.013309821477725288,0.3534943242297922,0.007980076812738537,0.9936328874951795,
SFXN1,15.066224578993236,-0.01017859420766944,0.17159683636907677,-0.06318426751931946,0.9496197724466832,0.9877829930233537
HRH2,5.328443091802514,0.1332722342421306,0.2860999643646989,0.9410455581846662,0.3466815129165405,0.5941654319182846
CPLX2,0.001532632439331363,0.0021100388886792186,0.40925447154958816,0.018616894880708532,0.985146725005946,
THOC3,13.344662687144295,0.14970211190819574,0.13305890485075805,1.334572002369334,0.18201646648977698,0.38906954911298336
