ligand_complex,receptor_complex,source,target,resources,n_resources,mean_lrscore,max_lrscore,min_lrscore
C5,C5AR1,CD16+ NK cells,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Memory B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Naive B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Plasma cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Regulatory T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Classical monocytes,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Memory B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Naive B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Plasma cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Regulatory T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,DC2,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Mast cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Memory B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Naive B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Non-classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Plasma cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
